,date,un_rate,12_mo_unemp_change,median_household_price,pct_house_change_year,housing_climb_change,cpi_change_all,cpi_change_less_food_and_energy,36_mo_cpi_change_all,average_sp_price,pct_monthly_sp_change,pct_bimonthly_sp_change,ten_yr_yield,one_yr_yield,yield_diff,yield_below_zero,years_since_recession,years_until_recession,recession_in_next_year,in_recession
0,1968-01-01,3.7,-0.19999999999999973,23900.0,7.174887892376682,0.9844117019004912,3.64742,3.80117,2.54852,95.04,-0.27282266526756654,2.5685301100798723,5.63,5.71,-0.08000000000000007,1,6.917808219178082,1.917808219178082,0.0,0
1,1968-02-01,3.8,0.0,23900.0,7.174887892376682,0.9844117019004912,3.63636,4.38596,2.4393399999999996,90.75,-4.513888888888895,-4.7743966421825785,5.58,5.37,0.20999999999999996,0,7.002739726027397,1.832876712328767,0.0,0
2,1968-03-01,3.7,-0.09999999999999964,23900.0,7.174887892376682,0.9844117019004912,3.93939,4.37318,2.74353,89.09,-1.829201101928371,-6.2605218855218885,5.56,5.43,0.1299999999999999,0,7.082191780821918,1.7534246575342465,0.0,0
3,1968-04-01,3.5,-0.2999999999999998,24900.0,6.866952789699571,1.4370885363059056,3.92749,4.36047,2.53815,95.67,7.385789650914804,5.4214876033057875,5.64,5.54,0.09999999999999964,0,7.167123287671233,1.6684931506849314,0.0,0
4,1968-05-01,3.5,-0.2999999999999998,24900.0,6.866952789699571,1.4370885363059056,4.22961,4.34783,2.61567,97.87,2.2995714435037136,9.855202604108205,5.73,6.0,-0.2699999999999996,1,7.249315068493151,1.5863013698630137,0.0,0
5,1968-06-01,3.7,-0.19999999999999973,24900.0,6.866952789699571,1.4370885363059056,4.2042,4.62428,2.26934,100.5,2.687238173086743,5.04860457823769,5.79,6.02,-0.22999999999999954,1,7.3342465753424655,1.5013698630136987,0.0,0
6,1968-07-01,3.7,-0.09999999999999964,24800.0,10.222222222222223,5.5710594315245485,4.49102,4.89914,2.6857299999999995,100.3,-0.19900497512438092,2.4828854603044777,5.62,5.9,-0.28000000000000025,1,7.416438356164384,1.4191780821917808,0.0,0
7,1968-08-01,3.5,-0.2999999999999998,24800.0,10.222222222222223,5.5710594315245485,4.47761,4.58453,2.8673,98.11,-2.1834496510468573,-2.378109452736319,5.38,5.3,0.08000000000000007,0,7.501369863013698,1.3342465753424657,0.0,0
8,1968-09-01,3.4,-0.3999999999999999,24800.0,10.222222222222223,5.5710594315245485,4.46429,4.85714,2.72684,101.3,3.2514524513301377,0.9970089730807578,5.41,5.42,-0.009999999999999787,1,7.586301369863014,1.2493150684931507,0.0,0
9,1968-10-01,3.4,-0.6000000000000001,25600.0,11.790393013100436,4.781047218707913,4.74777,5.12821,3.04469,103.8,2.4679170779861797,5.7996126796452945,5.49,5.45,0.040000000000000036,0,7.668493150684932,1.167123287671233,0.0,0
10,1968-11-01,3.4,-0.5,25600.0,11.790393013100436,4.781047218707913,4.42478,5.39773,2.69457,105.4,1.5414258188824745,4.047384007897343,5.61,5.66,-0.04999999999999982,1,7.7534246575342465,1.082191780821918,0.0,0
11,1968-12-01,3.4,-0.3999999999999999,25600.0,11.790393013100436,4.781047218707913,4.70588,5.08475,2.7858799999999997,106.5,1.0436432637571103,2.6011560693641647,5.89,5.86,0.02999999999999936,0,7.835616438356165,1.0,1.0,0
12,1969-01-01,3.4,-0.30000000000000027,25700.0,7.531380753138076,0.35649286076139397,4.69208,5.07042,2.7739199999999995,102.0,-4.225352112676056,-3.225806451612909,6.04,6.42,-0.3799999999999999,1,7.920547945205479,0.915068493150685,1.0,0
